,Old Norse Root,Icelandic Word,Norwegian Bokmål Word,Old Norse URL,Icelandic URL,Norwegian Bokmål URL
144,ekki,ekki,ikke,https://en.wiktionary.org/wiki/ekki#Old_Norse,https://en.wiktionary.org/wiki/ekki,https://en.wiktionary.org/wiki/ikke
145,eldr,eldur,ild,https://en.wiktionary.org/wiki/eldr#Old_Norse,https://en.wiktionary.org/wiki/eldur,https://en.wiktionary.org/wiki/ild
146,elfr,elfur,elv,https://en.wiktionary.org/wiki/elfr#Old_Norse,https://en.wiktionary.org/wiki/elfur,https://en.wiktionary.org/wiki/elv
147,elgr,elgur,elg,https://en.wiktionary.org/wiki/elgr#Old_Norse,https://en.wiktionary.org/wiki/elgur,https://en.wiktionary.org/wiki/elg
148,ella,ella,eller,https://en.wiktionary.org/wiki/ella#Old_Norse,https://en.wiktionary.org/wiki/ella,https://en.wiktionary.org/wiki/eller
149,ellifu,ellefu,elleve,https://en.wiktionary.org/wiki/ellifu#Old_Norse,https://en.wiktionary.org/wiki/ellefu,https://en.wiktionary.org/wiki/elleve
150,elska,elska,elske,https://en.wiktionary.org/wiki/elska#Old_Norse,https://en.wiktionary.org/wiki/elska,https://en.wiktionary.org/wiki/elske
151,embætti,embætti,embete,https://en.wiktionary.org/wiki/emb%C3%A6tti#Old_Norse,https://en.wiktionary.org/wiki/emb%C3%A6tti,https://en.wiktionary.org/wiki/embete
152,endi,endi,ende,https://en.wiktionary.org/wiki/endi#Old_Norse,https://en.wiktionary.org/wiki/endi,https://en.wiktionary.org/wiki/ende
153,engill,engill,engel,https://en.wiktionary.org/wiki/engill#Old_Norse,https://en.wiktionary.org/wiki/engill,https://en.wiktionary.org/wiki/engel
154,epli,epli,eple,https://en.wiktionary.org/wiki/epli#Old_Norse,https://en.wiktionary.org/wiki/epli,https://en.wiktionary.org/wiki/eple
155,ermr,ermi,erme,https://en.wiktionary.org/wiki/ermr#Old_Norse,https://en.wiktionary.org/wiki/ermi,https://en.wiktionary.org/wiki/erme
156,eta,eta,ete,https://en.wiktionary.org/wiki/eta#Old_Norse,https://en.wiktionary.org/wiki/eta,https://en.wiktionary.org/wiki/ete
157,ey,ey,øy,https://en.wiktionary.org/wiki/ey#Old_Norse,https://en.wiktionary.org/wiki/ey,https://en.wiktionary.org/wiki/%C3%B8y
158,ey,eyja,øy,https://en.wiktionary.org/wiki/ey#Old_Norse,https://en.wiktionary.org/wiki/eyja,https://en.wiktionary.org/wiki/%C3%B8y
159,eyra,eyra,øre,https://en.wiktionary.org/wiki/eyra#Old_Norse,https://en.wiktionary.org/wiki/eyra,https://en.wiktionary.org/wiki/%C3%B8re
160,eðla,eðla,øgle,https://en.wiktionary.org/wiki/e%C3%B0la#Old_Norse,https://en.wiktionary.org/wiki/e%C3%B0la,https://en.wiktionary.org/wiki/%C3%B8gle
